****************************************************************************************************Id:0****************************************************************************************************
Id:0x40230bc8, Parent:0x3f88afbd, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:8172.022628328686
Id:0x0d1c5780, Parent:0x40230bc8, Miner: [Id:5    , Balance:150       ], Txns:2    , Time:9177.965137321582
Id:0x54c89f41, Parent:0x40230bc8, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:9268.021573946477
Id:0x31244099, Parent:0x40230bc8, Miner: [Id:46   , Balance:0         ], Txns:1    , Time:9607.790262119202
Id:0x44a02d88, Parent:0x54c89f41, Miner: [Id:54   , Balance:0         ], Txns:3    , Time:9765.786766285852
Id:0x6c6141e3, Parent:0x0d1c5780, Miner: [Id:41   , Balance:100       ], Txns:1    , Time:10185.920720651331
Id:0x64005036, Parent:0x6c6141e3, Miner: [Id:4    , Balance:70        ], Txns:3    , Time:11064.843303209153
Id:0x669146b4, Parent:0x00000001, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:11914.178647404358
Id:0x457617a9, Parent:0x64005036, Miner: [Id:35   , Balance:0         ], Txns:1    , Time:12595.35682398982
Id:0x51d3f9a9, Parent:0x64005036, Miner: [Id:5    , Balance:150       ], Txns:1    , Time:12629.56282265782
Id:0x7685abf8, Parent:0x51d3f9a9, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:13533.595680357797
Id:0x25cc61f2, Parent:0x7685abf8, Miner: [Id:11   , Balance:102       ], Txns:5    , Time:14292.741508392433
Id:0x30219e05, Parent:0x7685abf8, Miner: [Id:38   , Balance:50        ], Txns:2    , Time:14702.170251297286
Id:0x40c73474, Parent:0x30219e05, Miner: [Id:44   , Balance:50        ], Txns:7    , Time:16113.314889204323
Id:0x325c26b2, Parent:0x30219e05, Miner: [Id:22   , Balance:52        ], Txns:1    , Time:16408.52650237656
Id:0x63450bb0, Parent:0x325c26b2, Miner: [Id:37   , Balance:102       ], Txns:2    , Time:17184.37454781366
Id:0x4dba2a59, Parent:0x325c26b2, Miner: [Id:48   , Balance:0         ], Txns:23   , Time:17455.848187202333
Id:0x2c384d88, Parent:0x63450bb0, Miner: [Id:50   , Balance:100       ], Txns:4    , Time:17725.95067762564
Id:0x3fbb6dbf, Parent:0x4dba2a59, Miner: [Id:51   , Balance:150       ], Txns:3    , Time:17951.60667946978
Id:0x0a484093, Parent:0x4dba2a59, Miner: [Id:12   , Balance:0         ], Txns:1    , Time:18461.99977778625
Id:0x579570cb, Parent:0x40230bc8, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:18547.826243507658
Id:0x46c73bd6, Parent:0x2c384d88, Miner: [Id:37   , Balance:102       ], Txns:3    , Time:19388.804789589245
Id:0x2a893ef6, Parent:0x2c384d88, Miner: [Id:19   , Balance:102       ], Txns:2    , Time:19803.987927518556
Id:0x3974c5bc, Parent:0x7685abf8, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:24543.271403264465
Id:0x6c0e26f4, Parent:0x63450bb0, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:26006.632533883152
Id:0x141e12e5, Parent:0x46c73bd6, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:26230.73308880012
Id:0x5530b6f4, Parent:0x457617a9, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:34266.15129410957
Id:0x0f3b44bb, Parent:0x25cc61f2, Miner: [Id:1    , Balance:100       ], Txns:4    , Time:35983.891696210885
Id:0x227dc155, Parent:0x141e12e5, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:37699.89502658967
Id:0x4c4c763d, Parent:0x65d80c3f, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:41872.32488283483
Id:0x4067eedc, Parent:0x44a02d88, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:46217.24840456067
Id:0x7df72579, Parent:0x5f4df43d, Miner: [Id:1    , Balance:100       ], Txns:1    , Time:53602.55083485149
Id:0x16018de0, Parent:0x64005036, Miner: [Id:1    , Balance:100       ], Txns:2    , Time:64164.36959615763
****************************************************************************************************Id:2****************************************************************************************************
Id:0x00000001, Parent:-0x0000001, Miner: -1, Txns:0    , Time:0
Id:0x65d80c3f, Parent:0x00000001, Miner: [Id:31   , Balance:3         ], Txns:1    , Time:1139.4366557513206
Id:0x7194306a, Parent:0x00000001, Miner: [Id:20   , Balance:50        ], Txns:1    , Time:1547.0720512821376
Id:0x23563123, Parent:0x00000001, Miner: [Id:11   , Balance:102       ], Txns:1    , Time:1912.246857644875
Id:0x4263baa8, Parent:0x65d80c3f, Miner: [Id:7    , Balance:96        ], Txns:1    , Time:3688.5123515984556
Id:0x5f4df43d, Parent:0x65d80c3f, Miner: [Id:9    , Balance:0         ], Txns:1    , Time:3728.5572428462765
Id:0x14990166, Parent:0x65d80c3f, Miner: [Id:40   , Balance:0         ], Txns:1    , Time:4380.414124347065
Id:0x44b97697, Parent:0x4263baa8, Miner: [Id:26   , Balance:90        ], Txns:2    , Time:5395.595437047
Id:0x3f88afbd, Parent:0x44b97697, Miner: [Id:6    , Balance:107       ], Txns:1    , Time:6387.851078800886
Id:0x56a7b7a4, Parent:0x44b97697, Miner: [Id:51   , Balance:150       ], Txns:2    , Time:6680.443582056778
Id:0x40230bc8, Parent:0x3f88afbd, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:7972.139451495576
